FID,VolcanoNumber,VolcanoName,SO2_Kilotons,StartDate,EndDate,GeoLocation,Emission_ID
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6dc1,211060,Etna,6.5,20120105,20120105,POINT (14.999 37.748),23
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6dc0,211060,Etna,1.1,20120209,20120209,POINT (14.999 37.748),24
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6dbf,211060,Etna,31,20120304,20120424,POINT (14.999 37.748),25
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6dbe,211060,Etna,5,20130228,20130228,POINT (14.999 37.748),26
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6dbd,211060,Etna,7,20130427,20130427,POINT (14.999 37.748),27
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6dbc,211060,Etna,10,20131026,20131026,POINT (14.999 37.748),28
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6dbb,211060,Etna,40,20131117,20131230,POINT (14.999 37.748),29
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6dba,211060,Etna,25,20151203,20151203,POINT (14.999 37.748),30
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6db9,221010,"Tair, Jebel at",80,20070930,20070930,POINT (41.83 15.55),31
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6db8,221020,Zubair Group,1,20111218,20111218,POINT (42.18 15.05),32
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6db7,221060,Alu-Dalafilla,150,20081103,20081103,POINT (40.553 13.793),33
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6db6,221101,Nabro,3650,20110613,20110613,POINT (41.7 13.37),34
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6db5,221115,Manda Hararo,26,20070812,20070812,POINT (40.82 12.17),35
